# BEGIN DATA
Process=pp -> e+e-j
Proc=eej
Sqrt=13 TeV
Unit=pb/GeV
Timestamp=2017-10-16 14:01:56
# END DATA

# BEGIN HISTO1D eej_pTV_LO
# xlow   xhigh   val   errminus  errplus
3.000000e+03 6.500000e+03 8.943475e-12 1.312318e-15 1.312318e-15
# END HISTO1D

# BEGIN HISTO1D eej_pTV_K_NNLO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 1.432169e+00 6.806936e-03 6.806936e-03
4.000000e+01 5.000000e+01 1.441875e+00 6.846749e-03 6.846749e-03
5.000000e+01 6.000000e+01 1.486059e+00 6.874430e-03 6.874430e-03
6.000000e+01 7.000000e+01 1.478904e+00 6.957248e-03 6.957248e-03
7.000000e+01 8.000000e+01 1.489642e+00 6.999286e-03 6.999286e-03
8.000000e+01 9.000000e+01 1.494648e+00 7.199858e-03 7.199858e-03
9.000000e+01 1.000000e+02 1.522889e+00 7.155132e-03 7.155132e-03
1.000000e+02 1.100000e+02 1.528462e+00 7.257604e-03 7.257604e-03
1.100000e+02 1.200000e+02 1.537724e+00 7.264721e-03 7.264721e-03
1.200000e+02 1.300000e+02 1.556732e+00 7.566987e-03 7.566987e-03
1.300000e+02 1.400000e+02 1.544352e+00 7.494874e-03 7.494874e-03
1.400000e+02 1.500000e+02 1.570401e+00 7.450930e-03 7.450930e-03
1.500000e+02 2.000000e+02 1.575395e+00 3.069607e-03 3.069607e-03
2.000000e+02 2.500000e+02 1.591720e+00 3.364463e-03 3.364463e-03
2.500000e+02 3.000000e+02 1.603917e+00 3.189237e-03 3.189237e-03
3.000000e+02 3.500000e+02 1.613597e+00 3.122600e-03 3.122600e-03
3.500000e+02 4.000000e+02 1.616153e+00 3.302195e-03 3.302195e-03
4.000000e+02 4.500000e+02 1.626328e+00 3.156156e-03 3.156156e-03
4.500000e+02 5.000000e+02 1.629659e+00 3.278988e-03 3.278988e-03
5.000000e+02 5.500000e+02 1.621951e+00 3.186524e-03 3.186524e-03
5.500000e+02 6.000000e+02 1.628679e+00 2.857117e-03 2.857117e-03
6.000000e+02 6.500000e+02 1.631832e+00 2.830101e-03 2.830101e-03
6.500000e+02 7.000000e+02 1.629212e+00 2.963488e-03 2.963488e-03
7.000000e+02 7.500000e+02 1.636465e+00 2.965834e-03 2.965834e-03
7.500000e+02 8.000000e+02 1.641490e+00 2.983752e-03 2.983752e-03
8.000000e+02 8.500000e+02 1.639917e+00 3.063378e-03 3.063378e-03
8.500000e+02 9.000000e+02 1.642874e+00 3.025380e-03 3.025380e-03
9.000000e+02 9.500000e+02 1.644671e+00 3.301826e-03 3.301826e-03
9.500000e+02 1.000000e+03 1.654803e+00 3.481638e-03 3.481638e-03
1.000000e+03 1.100000e+03 1.661776e+00 2.332427e-03 2.332427e-03
1.100000e+03 1.200000e+03 1.658390e+00 2.461503e-03 2.461503e-03
1.200000e+03 1.300000e+03 1.673755e+00 2.768834e-03 2.768834e-03
1.300000e+03 1.400000e+03 1.681449e+00 3.026842e-03 3.026842e-03
1.400000e+03 1.600000e+03 1.701373e+00 2.321284e-03 2.321284e-03
1.600000e+03 1.800000e+03 1.717202e+00 2.734311e-03 2.734311e-03
1.800000e+03 2.000000e+03 1.740535e+00 3.261062e-03 3.261062e-03
2.000000e+03 2.200000e+03 1.767444e+00 3.644546e-03 3.644546e-03
2.200000e+03 2.400000e+03 1.788544e+00 3.914102e-03 3.914102e-03
2.400000e+03 2.600000e+03 1.811638e+00 4.273695e-03 4.273695e-03
2.600000e+03 2.800000e+03 1.836142e+00 4.612143e-03 4.612143e-03
2.800000e+03 3.000000e+03 1.870791e+00 4.875634e-03 4.875634e-03
3.000000e+03 6.500000e+03 1.933075e+00 3.521639e-03 3.521639e-03
# END HISTO1D

# BEGIN HISTO1D eej_pTV_NNLO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 1.383531e+01 8.176055e-02 8.176055e-02
4.000000e+01 5.000000e+01 8.051601e+00 4.765184e-02 4.765184e-02
5.000000e+01 6.000000e+01 5.126306e+00 2.976070e-02 2.976070e-02
