name                                              b-only fit            s+b fit         rho
btag2016                                      ! +3.65, 0.62!     ! +3.60, 0.82!       -0.00
sr2016passrecoil3_wjetsMC_mcstat_bin9            -0.84, 0.90        -0.85, 0.93       +0.00
sr2016passrecoil3_wlfMC_mcstat_bin0              -0.36, 0.86        -0.33, 0.88       -0.03
sr2016passrecoil3_wlfMC_mcstat_bin1              -0.21, 0.87        -0.19, 0.90       -0.01
sr2016passrecoil3_wlfMC_mcstat_bin2              +0.95, 0.83        +0.97, 0.86       -0.01
sr2016passrecoil3_wlfMC_mcstat_bin3              +0.08, 0.89        +0.09, 0.91       +0.02
sr2016passrecoil3_wlfMC_mcstat_bin4              +0.98, 0.85        +0.97, 0.88       +0.05
sr2016passrecoil3_wlfMC_mcstat_bin5              -0.05, 0.88        -0.05, 0.91       +0.02
sr2016passrecoil3_wlfMC_mcstat_bin6              +0.35, 0.86        +0.12, 0.93       -0.00
sr2016passrecoil3_wlfMC_mcstat_bin9              +0.43, 0.91        +0.44, 0.93       -0.00
sr2016passrecoil4_wjetsMC_mcstat_bin0            -0.10, 0.70        -0.09, 0.99       -0.01
sr2016passrecoil4_wjetsMC_mcstat_bin1            -0.11, 0.70        -0.11, 0.99       -0.01
sr2016passrecoil4_wjetsMC_mcstat_bin10           +0.00, 0.70        +0.00, 0.99       +0.01
sr2016passrecoil4_wjetsMC_mcstat_bin2            -0.09, 0.70        -0.09, 0.99       -0.00
sr2016passrecoil4_wjetsMC_mcstat_bin3            -0.21, 0.70        -0.22, 0.98       +0.01
sr2016passrecoil4_wjetsMC_mcstat_bin4            +0.06, 0.70        +0.04, 0.99       +0.03
sr2016passrecoil4_wjetsMC_mcstat_bin5            -0.01, 0.70        -0.03, 0.98       +0.04
sr2016passrecoil4_wjetsMC_mcstat_bin6            +0.21, 0.70        +0.22, 0.98       -0.01
sr2016passrecoil4_wjetsMC_mcstat_bin7            +0.13, 0.70        +0.14, 0.98       -0.02
sr2016passrecoil4_wjetsMC_mcstat_bin8            -0.08, 0.70        -0.07, 0.99       -0.01
sr2016passrecoil4_wjetsMC_mcstat_bin9            +0.06, 0.70        +0.06, 0.99       -0.00
st_norm                                       ! +4.01, 0.52!     ! +3.98, 0.67!       -0.07
